seed,condition,method,value,fired
0,M1,CMI,0.004975124378109453,1
0,M1,Pearson,0.004975124378109453,1
0,M1,PartialCorr,3.063832061152824e-09,1
0,M1,ResidualDCor,0.004975124378109453,1
0,M2,CMI,0.5323383084577115,0
0,M2,Pearson,0.004975124378109453,1
0,M2,PartialCorr,1.4201045654053884e-06,1
0,M2,ResidualDCor,0.004975124378109453,1
0,M3,CMI,0.05970149253731343,0
0,M3,Pearson,0.004975124378109453,1
0,M3,PartialCorr,1.9623394883893336e-08,1
0,M3,ResidualDCor,0.004975124378109453,1
1,M1,CMI,0.04975124378109453,1
1,M1,Pearson,0.004975124378109453,1
1,M1,PartialCorr,3.22226238493744e-06,1
1,M1,ResidualDCor,0.004975124378109453,1
1,M2,CMI,0.23880597014925373,0
1,M2,Pearson,0.004975124378109453,1
1,M2,PartialCorr,6.538795048730462e-05,1
1,M2,ResidualDCor,0.004975124378109453,1
1,M3,CMI,0.8855721393034826,0
1,M3,Pearson,0.004975124378109453,1
1,M3,PartialCorr,0.0015782911470989946,1
1,M3,ResidualDCor,0.004975124378109453,1
2,M1,CMI,0.15920398009950248,0
2,M1,Pearson,0.004975124378109453,1
2,M1,PartialCorr,3.602963850082186e-08,1
2,M1,ResidualDCor,0.004975124378109453,1
2,M2,CMI,0.22388059701492538,0
2,M2,Pearson,0.004975124378109453,1
2,M2,PartialCorr,3.8420356374070715e-10,1
2,M2,ResidualDCor,0.004975124378109453,1
2,M3,CMI,0.004975124378109453,1
2,M3,Pearson,0.004975124378109453,1
2,M3,PartialCorr,1.6881910085663206e-05,1
2,M3,ResidualDCor,0.004975124378109453,1
3,M1,CMI,0.14925373134328357,0
3,M1,Pearson,0.004975124378109453,1
3,M1,PartialCorr,9.362165426876602e-12,1
3,M1,ResidualDCor,0.004975124378109453,1
3,M2,CMI,0.4975124378109453,0
3,M2,Pearson,0.01990049751243781,1
3,M2,PartialCorr,0.06363101150921795,0
3,M2,ResidualDCor,0.06965174129353234,0
3,M3,CMI,0.009950248756218905,1
3,M3,Pearson,0.004975124378109453,1
3,M3,PartialCorr,1.0208168974433488e-07,1
3,M3,ResidualDCor,0.004975124378109453,1
4,M1,CMI,0.05472636815920398,0
4,M1,Pearson,0.004975124378109453,1
4,M1,PartialCorr,1.7891734185901861e-09,1
4,M1,ResidualDCor,0.004975124378109453,1
4,M2,CMI,0.8407960199004975,0
4,M2,Pearson,0.009950248756218905,1
4,M2,PartialCorr,0.010028261812148553,1
4,M2,ResidualDCor,0.009950248756218905,1
4,M3,CMI,0.04477611940298507,1
4,M3,Pearson,0.004975124378109453,1
4,M3,PartialCorr,5.347328503102552e-09,1
4,M3,ResidualDCor,0.004975124378109453,1
5,M1,CMI,0.0845771144278607,0
5,M1,Pearson,0.004975124378109453,1
5,M1,PartialCorr,5.078021927079734e-06,1
5,M1,ResidualDCor,0.004975124378109453,1
5,M2,CMI,0.07462686567164178,0
5,M2,Pearson,0.004975124378109453,1
5,M2,PartialCorr,1.0697189257944148e-10,1
5,M2,ResidualDCor,0.004975124378109453,1
5,M3,CMI,0.2537313432835821,0
5,M3,Pearson,0.004975124378109453,1
5,M3,PartialCorr,4.91003235856121e-16,1
5,M3,ResidualDCor,0.004975124378109453,1
6,M1,CMI,0.004975124378109453,1
6,M1,Pearson,0.004975124378109453,1
6,M1,PartialCorr,8.964420998126206e-10,1
6,M1,ResidualDCor,0.004975124378109453,1
6,M2,CMI,0.004975124378109453,1
6,M2,Pearson,0.004975124378109453,1
6,M2,PartialCorr,1.031620728991548e-11,1
6,M2,ResidualDCor,0.004975124378109453,1
6,M3,CMI,0.03482587064676617,1
6,M3,Pearson,0.004975124378109453,1
6,M3,PartialCorr,1.0174519990843057e-09,1
6,M3,ResidualDCor,0.004975124378109453,1
7,M1,CMI,0.004975124378109453,1
7,M1,Pearson,0.004975124378109453,1
7,M1,PartialCorr,3.218610985076924e-06,1
7,M1,ResidualDCor,0.004975124378109453,1
7,M2,CMI,0.004975124378109453,1
7,M2,Pearson,0.004975124378109453,1
7,M2,PartialCorr,2.8141981763620815e-07,1
7,M2,ResidualDCor,0.004975124378109453,1
7,M3,CMI,0.004975124378109453,1
7,M3,Pearson,0.004975124378109453,1
7,M3,PartialCorr,3.3580504002907955e-13,1
7,M3,ResidualDCor,0.004975124378109453,1
8,M1,CMI,0.004975124378109453,1
8,M1,Pearson,0.004975124378109453,1
8,M1,PartialCorr,6.835939336403457e-16,1
8,M1,ResidualDCor,0.004975124378109453,1
8,M2,CMI,0.4129353233830846,0
8,M2,Pearson,0.004975124378109453,1
8,M2,PartialCorr,0.0012111739447233023,1
8,M2,ResidualDCor,0.004975124378109453,1
8,M3,CMI,0.004975124378109453,1
8,M3,Pearson,0.004975124378109453,1
8,M3,PartialCorr,2.895993747632752e-06,1
8,M3,ResidualDCor,0.004975124378109453,1
9,M1,CMI,0.004975124378109453,1
9,M1,Pearson,0.004975124378109453,1
9,M1,PartialCorr,1.0196804900228983e-09,1
9,M1,ResidualDCor,0.004975124378109453,1
9,M2,CMI,0.13930348258706468,0
9,M2,Pearson,0.004975124378109453,1
9,M2,PartialCorr,1.3413754536750938e-10,1
9,M2,ResidualDCor,0.004975124378109453,1
9,M3,CMI,0.004975124378109453,1
9,M3,Pearson,0.004975124378109453,1
9,M3,PartialCorr,3.709584358056432e-06,1
9,M3,ResidualDCor,0.004975124378109453,1
10,M1,CMI,0.029850746268656716,1
10,M1,Pearson,0.004975124378109453,1
10,M1,PartialCorr,2.3168656953572358e-15,1
10,M1,ResidualDCor,0.004975124378109453,1
10,M2,CMI,0.8855721393034826,0
10,M2,Pearson,0.004975124378109453,1
10,M2,PartialCorr,0.01775501660426193,1
10,M2,ResidualDCor,0.07462686567164178,0
10,M3,CMI,0.009950248756218905,1
10,M3,Pearson,0.004975124378109453,1
10,M3,PartialCorr,7.505162758648559e-08,1
10,M3,ResidualDCor,0.004975124378109453,1
11,M1,CMI,0.07960199004975124,0
11,M1,Pearson,0.004975124378109453,1
11,M1,PartialCorr,3.3298840900728624e-06,1
11,M1,ResidualDCor,0.004975124378109453,1
11,M2,CMI,0.5174129353233831,0
11,M2,Pearson,0.004975124378109453,1
11,M2,PartialCorr,0.002012688824698598,1
11,M2,ResidualDCor,0.004975124378109453,1
11,M3,CMI,0.3880597014925373,0
11,M3,Pearson,0.004975124378109453,1
11,M3,PartialCorr,0.00036578688885055143,1
11,M3,ResidualDCor,0.004975124378109453,1
12,M1,CMI,0.22885572139303484,0
12,M1,Pearson,0.004975124378109453,1
12,M1,PartialCorr,4.862489342895696e-07,1
12,M1,ResidualDCor,0.004975124378109453,1
12,M2,CMI,0.4527363184079602,0
12,M2,Pearson,0.004975124378109453,1
12,M2,PartialCorr,4.410666029334618e-06,1
12,M2,ResidualDCor,0.004975124378109453,1
12,M3,CMI,0.04975124378109453,1
12,M3,Pearson,0.004975124378109453,1
12,M3,PartialCorr,0.0001267952515822266,1
12,M3,ResidualDCor,0.004975124378109453,1
13,M1,CMI,0.004975124378109453,1
13,M1,Pearson,0.004975124378109453,1
13,M1,PartialCorr,4.434228778462569e-21,1
13,M1,ResidualDCor,0.004975124378109453,1
13,M2,CMI,0.4079601990049751,0
13,M2,Pearson,0.009950248756218905,1
13,M2,PartialCorr,0.11830053349223839,0
13,M2,ResidualDCor,0.06965174129353234,0
13,M3,CMI,0.004975124378109453,1
13,M3,Pearson,0.004975124378109453,1
13,M3,PartialCorr,9.596899180193645e-08,1
13,M3,ResidualDCor,0.004975124378109453,1
14,M1,CMI,0.004975124378109453,1
14,M1,Pearson,0.004975124378109453,1
14,M1,PartialCorr,4.589822646084498e-11,1
14,M1,ResidualDCor,0.004975124378109453,1
14,M2,CMI,0.9502487562189055,0
14,M2,Pearson,0.004975124378109453,1
14,M2,PartialCorr,0.0024599271996210196,1
14,M2,ResidualDCor,0.004975124378109453,1
14,M3,CMI,0.6318407960199005,0
14,M3,Pearson,0.004975124378109453,1
14,M3,PartialCorr,2.217006663358157e-07,1
14,M3,ResidualDCor,0.004975124378109453,1
